text,labels,Clean_Text
"Colorado, middle of nowhere.","['fear', 'surprise']","Colorado, middle nowhere."
This involved swimming a pretty large lake that was over my head.,['fear'],involved swimming pretty large lake head.
It was one of my most shameful experiences.,"['fear', 'sadness']",shameful experiences.
Then the screaming started.,"['fear', 'sadness', 'surprise']",screaming started.
"They don't fear death, and it seems they believe in reincarnation.","['fear', 'surprise']","fear death, believe reincarnation."
You know what happens when I get one of these stupid ideas in my head.,"['anger', 'fear']",know happens stupid ideas head.
My stomach even started giving me fits.,"['fear', 'sadness']",stomach started giving fits.
"Well, as we're bowling, my dinner began to not sit well with me, and I had to run to the bathroom.",['fear'],"Well, we're bowling, dinner began sit me, run bathroom."
Hondas are notoriously great cars for long trips for their dependability and great gas mileage.,['joy'],Hondas notoriously great cars long trips dependability great gas mileage.
It's his reflection.,['surprise'],reflection.
"not mine, and not that horrible, but i was browsing the personnel files last week and noticed that my boss' birthday had occurred 3 days prior.",['surprise'],"mine, horrible, browsing personnel files week noticed boss' birthday occurred 3 days prior."
"i pushed standing up for a while and emerald crowned, but got pretty tired and laid on the bed on my side while matthias held my leg up and that's how emerald came out!",['joy'],"pushed standing emerald crowned, got pretty tired laid bed matthias held leg that's emerald came out!"
"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.","['joy', 'surprise']","Fortunately kindly ajeoshis ajummas rented scooter helped bus ferry, pulling seat thier table shoving succulant watermelon face."
I remember being scared shitless.,['fear'],remember scared shitless.
That was the last time anyone saw her.,"['fear', 'sadness']",time saw her.
The stone inside my heart was removed; ).,['joy'],stone inside heart removed; ).
"Not only was I not able to move, I smacked my head against the guy sitting in front me and things just got awkward.","['anger', 'fear']","able move, smacked head guy sitting things got awkward."
I didn't see any light yet it still seemed to glow.,"['fear', 'surprise']",light glow.
I unwrapped the candy and popped it into my mouth.,['joy'],unwrapped candy popped mouth.
Remember the farm-ette?,"['joy', 'surprise']",Remember farm-ette?
I took offense to this because as a supervisor I wanted my team to be in good spirits and wanted them to love coming in to work and doing good things for the mission.,['anger'],took offense supervisor wanted team good spirits wanted love coming work good things mission.
""" She awoke from this odd dream and told her mum to wake up her sister.","['fear', 'surprise']",""" awoke odd dream told mum wake sister."
It broke my heart and nearly ruined me.,"['fear', 'sadness']",broke heart nearly ruined me.
"R-I get home and park, just when I think everything is about to turn around, I slip on the ice, and fall flat on my back.","['fear', 'surprise']","R-I home park, think turn around, slip ice, fall flat back."
"She said that I shouldn't do ANYTHING with my finger, not even type.",['fear'],"said finger, type."
"It definitely makes my hand feel weird, and I haven't thrown up yet.",['fear'],"definitely makes hand feel weird, thrown yet."
Now when I have too much to do my brain just gets distracted by all the other jobs jostling for attention.,['fear'],brain gets distracted jobs jostling attention.
I expect them to come in the backdoor any second but I hear nothing.,"['fear', 'surprise']",expect come backdoor second hear nothing.
The rattling in my brain clogs my nose.,"['fear', 'sadness']",rattling brain clogs nose.
I had to turn my head back into the stream of water just so I didn't burst out laughing and lose it right there.,['joy'],turn head stream water burst laughing lose right there.
"So when the laughing fit stopped, back to my seat I went with a big ole smile across my face.",['joy'],"laughing fit stopped, seat went big ole smile face."
"""I lost the towel.",['fear'],"""I lost towel."
Sets the power/entity free.,"['fear', 'joy', 'surprise']",Sets power/entity free.
This is causing some of the puffiness in his face and sometimes causes a severe headache.,"['fear', 'sadness']",causing puffiness face causes severe headache.
There was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed.,"['anger', 'fear', 'sadness', 'surprise']",apparently awkward laughter apologies grandpa friends dismissed.
I don't stop.,['fear'],stop.
I got lie after lie.,"['anger', 'fear', 'sadness']",got lie lie.
"After scratching my head, I headed to the front yard, where there are no trees, on the off chance that something truly weird had caused a limb to plop down on my house.","['fear', 'surprise']","scratching head, headed yard, trees, chance truly weird caused limb plop house."
"And I got ta tell you right here folks, that brings a tear to my eye.","['joy', 'sadness']","got ta tell right folks, brings tear eye."
I'm feeling my eyes drift a bit so I guess I better attempt to try to go to sleep... I have to go to my mom's work at 7 to help her out.,"['fear', 'sadness']",I'm feeling eyes drift bit guess better attempt try sleep... mom's work 7 help out.
I've never met any of the other members but we all send each other x-mas cards & random stuff.,"['joy', 'surprise']",I've met members send x-mas cards &amp; random stuff.
The last week I've gone to bed at 7 every morning with house music blasting in my ear and have woken up with only an appetite for more.,['joy'],week I've gone bed 7 morning house music blasting ear woken appetite more.
It was one of the most spiritual moments of my life.,"['joy', 'surprise']",spiritual moments life.
I definitely ended up with a plastic burn on my elbow.,['fear'],definitely ended plastic burn elbow.
"As I started to jog easily to the starting line, my leg felt a little stiff and my shin was hurting a bit.","['fear', 'sadness']","started jog easily starting line, leg felt little stiff shin hurting bit."
"i asked if anyone else just saw that and right on queue my best friend says ""that hand just reach out of the entertainment center?","['fear', 'surprise']","asked saw right queue best friend says ""that hand reach entertainment center?"
"I started to grip my sheets, barely breathing as my mind raced and my eyes focused, not physically seeing anything out of the ordinary as the sirens wailed outside my apartment, the 35th floor should have been enough distance to drown out the sound, but it wasn't, and I shut my eyes, leaping to the lightswitch.",['fear'],"started grip sheets, barely breathing mind raced eyes focused, physically seeing ordinary sirens wailed outside apartment, 35th floor distance drown sound, wasn't, shut eyes, leaping lightswitch."
I had a chocolate and got up my nerve to ask about the games.,"['fear', 'joy']",chocolate got nerve ask games.
Nothing behind me either.,"['fear', 'surprise']",either.
It felt so unreal...,"['fear', 'surprise']",felt unreal...
All of it on top of my head.,['fear'],head.
I went into the closet to investigate and found nothing... /chills,"['fear', 'surprise']",went closet investigate found nothing... /chills
I'm trying to work and accomplish things and train this other guy on how to help me with my job and I can't even move my head for fear of puking on my desk.,['fear'],I'm trying work accomplish things train guy help job can't head fear puking desk.
Break my heart a thousand times and I realized that sometimes it really still hurts...,['sadness'],Break heart thousand times realized hurts...
